event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM50099,2025-05-10,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Somalia (2022-) Special Forces,,State forces,Civilians (Somalia),,Civilians,State forces-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Awdheegle,1.9833,44.8333,2,Al Furqaan; Calamada,Subnational-National,"On 10 May 2025, overnight, government security forces (Danab) conducted operation in Nuungare village near Awdheegle village (Afgooye, Lower Shabelle). 1 civilian was injured and another was arrested.",0,,1754411191
SOM50100,2025-05-12,2025,1,Political violence,Violence against civilians,Attack,Al Shabaab,,Rebel group,Civilians (Somalia),Military Forces of Somalia (2022-) Special Forces,Civilians,Rebel group-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Hiraan,Bulo Burto,,Buqda Caqable,4.0601,45.2577,1,Al Furqaan; Calamada; Undisclosed Source,Local partner-Other,"On 12 May 2025, Al Shabaab shot and killed a government soldier (Danab) in a public square in Buqda Caqable village (Bulo Burto, Hiraan). The militants claimed that the soldier was traveling from Beled Weyne to Mogadishu when they intercepted a civilian vehicle he was using.",1,,1754411191
SOM50101,2025-05-11,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Somalia (2022-) Jubaland Security Force,,State forces,Civilians (Somalia),Labor Group (Somalia),Civilians,State forces-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Lower Juba,Afmadow,,Dhobley,0.4063,41.0124,1,Undisclosed Source,Local partner-Other,"On 11 May 2025, a Jubaland soldier opened fire and injured 2 tipper truck drivers in outskirts of Dhobley village (Afmadow, Lower Juba) after they were found digging fill sand from privately owned land.",0,,1754411191
SOM50102,2025-05-09,2025,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Gulane,3.3035,46.2279,1,Radio Kulmiye,National,"Movement of forces: On 9 May 2025, A Shabaab were sighted in the vicinity of Gulane village (Cadale, Middle Shabelle).",0,,1753971829
SOM50103,2025-05-10,2025,1,Strategic developments,Strategic developments,Change to group/activity,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Identity militia,,,,Identity militia only,,706,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Belet Weyne,4.7360,45.2043,2,Radio Kulmiye,National,"Movement of forces: On 10 May 2025, Hawadle clan militia were deployed in Ceel Dheere Buraale village near Belet Weyne town (Belet Weyne, Hiraan). The clan militia to join the fight against Al Shabaab.",0,,1757377219
SOM50104,2025-05-11,2025,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Middle Shabelle,Adan Yabaal,,Al-Kowsar,3.6965,46.3835,1,Caasimada,National,"Security measures: On 11 May 2025, Al Shabaab shut down the telecommunication antennas in Al-Kowsar village (Adan Yabaal, Middle Shabelle), Mirtuugo, and Ceel Baraf (coded separately). The militants restricted the use of the internet and summoned clan elders to bring youths to join the group.",0,,1753971829
SOM50105,2025-05-11,2025,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Mirtuugo,2.8111,46.1039,1,Caasimada,National,"Security measures: On 11 May 2025, Al Shabaab shut down the telecommunication antennas in Mirtuugo village (Cadale, Middle Shabelle), Al Kowsar and Ceel Baraf (coded separately). The militants restricted the use of the internet and summoned clan elders to bring youths to join the group.",0,,1753971829
SOM50106,2025-05-11,2025,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Middle Shabelle,Jowhar,,Ceel Baraf,3.2072,45.7593,1,Caasimada,National,"Security measures: On 11 May 2025, Al Shabaab shut down the telecommunication antennas in Ceel Baraf village (Jowhar, Middle Shabelle), Mirtuugo and Al Kowsar (coded separately). The militants restricted the use of the internet and summoned clan elders to bring youths to join the group.",0,,1753971829
SOM50107,2025-05-13,2025,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Lower Juba,Jamaame,,Araara,0.0263,42.6829,1,Undisclosed Source,Local partner-Other,"Movement of forces: On 13 May 2025, unspecified Al Shabaab were sighted patrolling and conducting a reconnaissance in Araara village (Jamaame, Lower Juba).",0,,1753971829
SOM50108,2025-05-14,2025,1,Strategic developments,Strategic developments,Other,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Lower Juba,Afmadow,,Harbole,0.2671,42.1722,1,Undisclosed Source,Local partner-Other,"Non-violent activity: On 14 May 2025, Al Shabaab imposed 'Zakawaad' (heavy taxation) in Harbole village (Afmadow, Lower Juba) and Miido (coded separately). The move comes amid the increased pastoralist population.",0,,1753971829
